PartName,MeshVertCount,MeshTriCount,RenderBoundsSize,ColliderType,ColliderConvex,ColliderIsTrigger,ColliderBoundsSize,ColliderSharedMesh
Thermal_Couple,1756,1616,"(3.5043, 2.4834, 2.7974)",MeshCollider,True,False,"(3.3449, 2.2624, 2.5666)",Thermal_Couple (verts=1756)
Thermal_Couple.001,1756,1616,"(1.9129, 2.9048, 0.4996)",MeshCollider,True,False,"(1.9120, 2.9048, 0.4983)",Thermal_Couple.001 (verts=1756)
Thermal_Couple.002,1756,1616,"(0.4977, 2.9048, 1.9095)",MeshCollider,True,False,"(0.4977, 2.9048, 1.9095)",Thermal_Couple.002 (verts=1756)
Thermal_Couple.003,1756,1616,"(1.9095, 2.9048, 0.4977)",MeshCollider,True,False,"(1.9095, 2.9048, 0.4977)",Thermal_Couple.003 (verts=1756)
Thermal_Couple.004,1756,1616,"(0.4977, 2.9048, 1.9095)",MeshCollider,True,False,"(0.4977, 2.9048, 1.9095)",Thermal_Couple.004 (verts=1756)
Thermal_Couple.005,1757,1616,"(1.9159, 2.9048, 0.5119)",MeshCollider,True,False,"(1.9143, 2.9048, 0.5099)",Thermal_Couple.005 (verts=1757)
Thermal_Couple.006,1756,1616,"(0.4864, 2.9048, 1.9095)",MeshCollider,True,False,"(0.4864, 2.9048, 1.9095)",Thermal_Couple.006 (verts=1756)
Thermal_Couple.007,1756,1616,"(1.9095, 2.9048, 0.4864)",MeshCollider,True,False,"(1.9095, 2.9048, 0.4864)",Thermal_Couple.007 (verts=1756)
Thermal_Radiator,629,432,"(4.2145, 1.9581, 4.2237)",MeshCollider,True,False,"(4.2145, 1.9581, 4.2236)",Thermal_Radiator (verts=629)
Thermal_Radiator.001,627,432,"(4.2237, 1.9581, 4.2145)",MeshCollider,True,False,"(4.2237, 1.9581, 4.2145)",Thermal_Radiator.001 (verts=627)
Thermal_Radiator.002,627,432,"(4.2237, 1.9581, 4.2237)",MeshCollider,True,False,"(4.2237, 1.9581, 4.2236)",Thermal_Radiator.002 (verts=627)
Thermal_Radiator.003,629,432,"(4.2237, 1.9581, 4.2237)",MeshCollider,True,False,"(4.2237, 1.9581, 4.2237)",Thermal_Radiator.003 (verts=629)
Thermal_Radiator.004,627,432,"(4.2237, 1.9581, 4.2237)",MeshCollider,True,False,"(4.2237, 1.9581, 4.2236)",Thermal_Radiator.004 (verts=627)
Thermal_Radiator.005,629,432,"(4.2237, 1.9581, 4.2145)",MeshCollider,True,False,"(4.2237, 1.9581, 4.2145)",Thermal_Radiator.005 (verts=629)
Thermal_Radiator.006,629,432,"(4.2145, 1.9581, 4.2237)",MeshCollider,True,False,"(4.2145, 1.9581, 4.2236)",Thermal_Radiator.006 (verts=629)
Thermal_Radiator.007,627,432,"(4.2237, 1.9581, 4.2145)",MeshCollider,True,False,"(4.2237, 1.9581, 4.2145)",Thermal_Radiator.007 (verts=627)
