PartName,SpawnPos,LaterPos,DisplacementMeters
Thermal_Couple,"(6.5122, 27.3043, 77.7924)","(9.3439, 27.3312, 77.7060)",2.8332
Thermal_Couple.001,"(-0.1074, 26.9456, 84.6142)","(-0.1074, 26.9456, 84.6142)",0.0000
Thermal_Couple.002,"(6.5323, 27.3035, 65.7454)","(6.5323, 27.3035, 65.7454)",0.0000
Thermal_Couple.003,"(-0.3239, 27.3035, 58.8892)","(-0.3239, 27.3035, 58.8892)",0.0000
Thermal_Couple.004,"(-19.2262, 27.3035, 77.7926)","(-19.2262, 27.3035, 77.7926)",0.0000
Thermal_Couple.005,"(-12.3710, 27.3035, 84.6203)","(-12.3710, 27.3035, 84.6203)",0.0000
Thermal_Couple.006,"(-19.1867, 27.3035, 65.7454)","(-19.1867, 27.3035, 65.7454)",0.0000
Thermal_Couple.007,"(-12.3710, 27.3571, 58.9117)","(-12.3710, 27.3571, 58.9117)",0.0000
Thermal_Radiator,"(4.1717, 28.3050, 78.4790)","(4.1717, 28.3050, 78.4790)",0.0000
Thermal_Radiator.001,"(0.3626, 28.3050, 82.2881)","(0.3626, 28.3050, 82.2881)",0.0000
Thermal_Radiator.002,"(4.1717, 28.3050, 65.0590)","(4.1717, 28.3050, 65.0590)",0.0000
Thermal_Radiator.003,"(0.3626, 28.3050, 61.2499)","(0.3626, 28.3050, 61.2499)",0.0000
Thermal_Radiator.004,"(-16.8665, 28.3050, 78.4790)","(-16.8665, 28.3050, 78.4790)",0.0000
Thermal_Radiator.005,"(-13.0574, 28.3050, 82.2881)","(-13.0574, 28.3050, 82.2881)",0.0000
Thermal_Radiator.006,"(-16.8665, 28.3050, 65.0590)","(-16.8665, 28.3050, 65.0590)",0.0000
Thermal_Radiator.007,"(-13.0574, 28.3587, 61.2499)","(-13.0574, 28.3587, 61.2499)",0.0000
